Country,Year,Industry,AI Adoption Rate (%),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%)
Australia,2020,Automotive,14.31,14.59,36.05,76.71
Australia,2020,Marketing,33.91,17.15,59.2,32.1
Australia,2020,Healthcare,21.02,5.47,79.55,53.09
Australia,2020,Finance,69.67,27.81,55.74,74.99
Canada,2020,Marketing,41.32,34.42,17.23,36.29
Canada,2020,Education,60.69,29.34,28.55,39.5
Canada,2020,Healthcare,68.24,22.77,24.34,40.04
Canada,2020,Gaming,50.97,46.78,62.71,68.18
Canada,2020,Legal,39.94,46.08,44.31,38.14
China,2020,Manufacturing,45.27,12.07,57.15,57.03
China,2020,Education,70.7,37.59,44.7,78.66
China,2020,Manufacturing,72.88,47.77,76.86,55.78
China,2020,Retail,82.41,11.75,17.78,33.19
China,2020,Media,43.22,43.2,51.15,51.23
China,2020,Manufacturing,93.49,20.47,26.27,83.71
China,2020,Media,35.22,20.44,73.08,65.49
France,2020,Marketing,71,17.41,12.56,31.57
France,2020,Automotive,79.59,39.06,44.06,83.18
France,2020,Media,20.47,2.43,31.04,52.49
France,2020,Manufacturing,93.16,36.57,35.31,78.29
France,2020,Legal,64.43,38.39,19.26,88.29
France,2020,Media,55.19,29.26,51.9,49.04
Germany,2020,Finance,71.9,37.69,28.02,26.7
Germany,2020,Manufacturing,20.23,49.16,38.34,24.65
Germany,2020,Media,34.28,26.52,68.89,61.67
Germany,2020,Manufacturing,21.63,42.05,61.25,53
Germany,2020,Media,70.11,27.62,57.86,58.71
India,2020,Media,43.55,13.87,41.09,37.81
India,2020,Automotive,64.03,41.36,53.59,23.62
India,2020,Education,70.48,33.75,15.07,64.12
India,2020,Retail,93.72,48.33,31.86,75.36
India,2020,Automotive,80.04,29.72,76.74,69.01
Japan,2020,Retail,19.03,31.81,47.63,33.97
Japan,2020,Media,34.27,28.58,23.4,24.04
South Korea,2020,Automotive,30.94,37.08,60.61,56.01
South Korea,2020,Retail,12.97,33.17,75.91,27.28
South Korea,2020,Finance,18.91,40.53,49.28,82.93
South Korea,2020,Education,43.12,17.26,26.12,38.6
South Korea,2020,Healthcare,10.53,23.64,34.27,45.67
UK,2020,Legal,50.34,1.04,0.58,68.07
UK,2020,Education,70.59,23.88,69.35,55.02
UK,2020,Education,67.49,37.69,49.79,53.15
UK,2020,Automotive,63.03,31.41,57.91,63.9
UK,2020,Finance,88.23,17.85,10.99,85.27
USA,2020,Retail,26.12,21.51,22.63,65.41
USA,2020,Media,27.5,2.21,56.52,60.77
USA,2020,Finance,36.52,25.53,71.01,21.92
Australia,2021,Gaming,76.22,43.3,10.63,61.88
Australia,2021,Media,57.44,25.91,47.8,82.92
Canada,2021,Manufacturing,49.72,44.52,66.78,73.26
China,2021,Gaming,13.9,49.71,0.57,65.4
China,2021,Media,85.09,34.67,50.96,43.18
China,2021,Finance,14.76,39.61,76.52,36.03
France,2021,Legal,85.24,27.7,78.24,29.45
France,2021,Gaming,78.95,17.45,1.05,21.7
France,2021,Legal,25.62,47.64,71.1,36.22
France,2021,Media,42.53,8.99,49.69,47.11
France,2021,Gaming,54.67,38.29,27.12,24.78
Germany,2021,Marketing,81.18,33.94,68.33,76.84
Germany,2021,Manufacturing,20.25,3.81,6.61,80.08
Germany,2021,Education,45.09,27.79,0.14,39.09
Germany,2021,Media,40.8,21.03,62.27,21.16
Germany,2021,Automotive,89.44,48.47,12.14,30.6
India,2021,Education,63.04,6.68,50.72,81.71
India,2021,Manufacturing,45.37,47.42,40.66,80.62
Japan,2021,Education,38.42,23.06,58.05,81.05
Japan,2021,Media,76.22,15.67,38.03,33.05
South Korea,2021,Marketing,44.99,18.15,52.91,80.25
South Korea,2021,Healthcare,67.97,21.57,17.6,20.43
South Korea,2021,Healthcare,53.76,4.08,31.27,32.23
UK,2021,Gaming,88.38,23.7,52.51,59.75
UK,2021,Automotive,46.44,49.1,64.98,52.91
UK,2021,Education,21.57,32.52,13.61,37.65
USA,2021,Retail,66.95,0.86,27.58,64.42
