age,gender,region,sessions_per_day,past_engagement,device_type,app_version,notification_sent,pop_up_rem,notification_opened,engagement
56,Male,US,2,37.3312641679522,iOS,1,0,1,1,22.915901718243962
46,Female,US,3,45.34610597806795,Android,3,0,0,1,20.043720133766872
32,Female,US,1,111.71601577864558,iOS,2,0,0,0,28.373762556663394
60,Female,US,7,6.564358261038491,iOS,1,0,0,0,23.419302731639405
25,Female,US,8,4.2259388069456065,iOS,2,1,1,0,16.772125417572273
38,Male,Asia,1,62.083384909640735,Android,2,0,1,0,12.625540999358584
56,Male,Asia,5,50.83279429384741,Android,1,0,0,0,28.92086495833902
36,Male,US,3,117.58220214087109,Android,2,0,0,0,19.096065511225532
40,Male,US,5,46.09335118754565,Android,2,0,0,0,15.381401138967064
28,Male,EU,2,65.6965624222134,iOS,3,1,0,0,21.34718029329099
28,Female,US,3,39.598987069014804,iOS,1,0,0,0,10.363222727836927
41,Female,US,4,65.21527640017379,Android,3,0,1,0,8.512802066955436
53,Female,US,6,15.882851920426347,iOS,1,1,1,1,25.67436589687189
57,Male,US,1,68.07936992007781,Android,1,0,0,0,22.586045010196173
41,Female,EU,7,53.867212867815695,iOS,2,1,1,1,28.905157890136763
20,Male,Asia,3,53.21001453093112,iOS,2,0,0,0,14.786839692321372
39,Male,US,4,52.893672291938,iOS,1,1,0,1,29.4596449266092
19,Male,US,6,88.95427520204484,iOS,3,1,1,1,39.84978836671325
41,Female,US,2,144.59895072391132,Android,3,0,1,0,11.001898581910972
47,Male,US,0,89.14858615940896,Android,1,1,1,1,33.23399236135161
55,Male,Asia,1,225.48086591047485,Android,2,1,1,0,28.49197680762689
19,Female,EU,4,71.15525688357641,iOS,2,1,0,0,29.11955166609285
38,Male,EU,3,58.566314695001005,Android,3,1,0,0,24.463232311792524
50,Female,EU,3,43.24416957433946,iOS,2,1,0,1,32.429220740260924
29,Male,Asia,4,135.084183080195,Android,1,1,0,1,46.51729233010074
39,Female,Asia,5,25.48154229754788,iOS,2,0,0,0,5.9696023540290994
42,Male,US,1,128.57521683927274,iOS,2,0,0,1,33.778364127442394
44,Male,US,7,25.806403200731932,Android,2,0,0,0,11.595775025952863
59,Female,EU,6,60.644027040721404,iOS,3,1,0,0,25.098840575360082
45,Male,US,2,72.57474053111036,iOS,2,0,1,1,23.056329466913354
33,Female,Asia,3,27.105321266253952,Android,3,1,1,1,29.988468796933635
32,Male,EU,4,60.043499379746066,iOS,2,0,1,0,20.1190715020472
20,Female,Asia,1,79.7618480370359,Android,1,0,1,0,24.094934807556626
54,Male,US,4,23.616102460621317,Android,1,1,1,1,29.450707767039262
24,Male,Asia,7,24.256200440680985,Android,2,1,0,1,32.240344130735004
38,Male,US,1,202.6171128682398,Android,2,1,0,0,31.14014222968893
26,Female,Asia,3,87.82859779017585,Android,3,1,0,1,29.702614198177226
56,Female,US,1,88.29262969180606,Android,2,1,0,0,18.452623417414337
35,Female,EU,4,34.56779741006216,Android,3,0,1,0,20.95664870598555
21,Female,EU,4,66.79120731145699,Android,1,0,1,0,28.338630403722842
42,Female,EU,2,54.869344166400154,Android,3,0,0,0,13.874637066493204
31,Male,EU,6,21.52113353357358,iOS,2,0,1,1,26.998504623328003
26,Male,Asia,3,265.23350701665515,Android,1,1,1,1,58.39740396418007
43,Male,EU,4,72.96230368425836,Android,2,1,1,0,25.6467492781275
19,Male,EU,2,69.77603429998415,iOS,3,0,1,0,21.029856457743104
37,Male,US,5,74.15646237914906,Android,3,0,1,0,17.224117366566862
45,Female,Asia,3,22.97328329230378,Android,1,0,0,0,13.603274774322628
24,Male,EU,4,35.65244170347134,iOS,2,0,1,0,8.569237327362995
25,Female,EU,3,35.770882243806106,iOS,3,0,1,0,21.616655030724857
52,Male,US,3,75.24121207322032,Android,1,0,1,0,5.971847542657237
31,Female,EU,6,34.37206179925768,iOS,3,1,1,1,23.589030961326408
34,Female,US,1,50.516403969902036,Android,2,0,1,1,25.642800714618257
53,Female,US,4,64.16940399315224,Android,1,1,1,1,23.937589848788555
57,Male,EU,1,62.393625091872806,Android,2,0,0,0,6.38898599243606
21,Male,US,1,45.94622996273032,iOS,3,0,0,0,22.799585059003125
19,Male,US,4,23.919489369211075,Android,3,0,0,0,16.23415182214492
23,Male,EU,3,95.51452285824703,Android,1,1,1,0,31.115358546803453
59,Female,US,1,125.20988352864534,Android,2,1,0,1,40.80341373050411
21,Female,US,2,25.19403197383024,iOS,3,1,0,1,31.290598071996307
46,Female,US,2,114.55877605979612,Android,3,1,1,1,32.96142588440598
35,Female,EU,2,28.954086002786376,Android,2,1,0,0,19.22917449035388
43,Male,EU,3,76.19290203909651,iOS,3,1,0,0,22.07941389263913
51,Female,EU,4,67.17670732636397,iOS,1,1,0,1,28.12802022225173
27,Male,US,7,94.50442228681331,Android,2,0,0,0,23.69921732244837
53,Female,US,2,16.713222525982815,Android,2,0,0,1,22.485150315258867
31,Female,US,7,66.73296635442318,Android,2,1,0,0,25.162380140817817
48,Female,EU,0,39.74546533603022,iOS,1,1,0,1,35.206023937613836
32,Male,Asia,3,98.159842937544,iOS,2,0,0,0,19.381113745453575
25,Male,US,6,76.94948813389561,Android,2,0,0,0,22.430219974343434
31,Female,US,2,65.59234147865833,iOS,1,1,1,1,23.22775616742897
40,Female,US,1,29.50889284861079,iOS,2,0,0,0,16.37894619919487
57,Female,EU,2,79.66110720401004,Android,1,0,1,1,31.005133801974363
38,Male,EU,6,28.787627585832766,iOS,3,0,0,0,11.584690691072709
33,Male,EU,3,15.3312324406388,Android,3,0,1,0,12.529830562289629
35,Male,Asia,2,31.879064219470422,Android,1,0,0,0,15.096572914670702
41,Female,EU,6,34.620646641536766,Android,3,0,0,0,14.567150457040771
43,Male,US,3,39.82627177338471,iOS,3,0,0,1,26.57745434443091
42,Female,US,1,55.06370644329644,iOS,3,0,0,0,9.601202700189061
58,Male,EU,3,55.08043691410286,iOS,1,1,0,1,31.50589559802647
46,Female,EU,4,66.7873966802131,Android,2,0,1,0,17.896648705601724
32,Female,EU,5,54.57384273825848,Android,1,1,0,1,29.696874684547378
18,Male,EU,5,28.104678499744956,iOS,2,0,0,0,20.787256507096384
42,Female,EU,1,86.15840278051554,iOS,3,1,1,1,30.68744553706346
24,Female,Asia,2,29.512412720962356,Android,1,0,1,0,14.02076484996721
26,Female,EU,7,58.971971204742715,Android,2,1,1,1,44.74470734829222
41,Male,EU,3,103.91523521679952,iOS,2,0,0,0,31.809619532502964
18,Female,US,3,40.13219435510473,Android,1,1,0,1,37.538705127782215
25,Male,EU,2,21.42657356024332,Android,1,0,1,1,27.878216582080817
41,Male,Asia,2,18.86839692222821,iOS,2,0,1,1,23.190323893672193
28,Female,US,2,26.988736195231667,iOS,3,0,1,0,21.800573899771436
34,Male,EU,4,20.7439583367751,Android,2,0,0,0,12.585967976678557
25,Female,EU,6,109.2465288623268,Android,1,0,1,1,29.500952893262667
52,Male,US,10,45.856283320999914,iOS,1,1,0,0,16.55884818342291
52,Female,EU,3,186.33089413979098,Android,3,1,0,1,41.05230978748093
50,Male,US,3,48.47664512555298,iOS,2,0,1,0,16.269984978396806
22,Female,Asia,2,9.199888118309335,Android,1,1,1,1,17.815104894701413
59,Female,Asia,2,57.65946105112485,Android,2,0,0,1,25.07965627642593
56,Female,US,6,45.58053200169194,iOS,1,0,0,0,10.516059985920723
58,Female,US,1,89.79991964004627,Android,3,0,1,1,17.7259016458751
45,Male,EU,4,44.235219471679095,Android,1,0,0,1,11.068541707943611
24,Male,US,6,44.58503077326502,iOS,1,0,0,0,8.936113720295243
26,Female,US,2,78.1274024615717,Android,2,1,0,0,19.476009550528683
25,Male,EU,3,32.7527931556776,Android,2,0,0,0,21.61125626993254
29,Female,US,1,39.28089710651085,iOS,1,0,1,1,15.84041314792794
51,Female,US,5,89.19641999530964,iOS,2,0,1,1,39.49200540583995
50,Male,Asia,1,13.746026068740708,iOS,2,0,0,0,11.170413988961968
40,Male,Asia,3,44.27784381133814,Android,2,0,0,0,17.825518038485892
41,Female,EU,3,0.45374991050835484,Android,1,0,0,1,13.256142216644054
54,Male,Asia,4,137.15680594583398,iOS,1,1,1,1,36.90660927931259
52,Female,US,2,48.62169776706348,Android,2,0,0,1,18.12061504715616
57,Male,US,2,28.73471211486541,iOS,3,0,1,0,12.845234643035104
39,Male,US,4,89.73595508588672,Android,2,0,0,0,18.734040141408464
44,Male,EU,0,60.820417129684515,Android,2,0,1,0,18.969312793908706
52,Male,Asia,3,22.625845403674084,Android,2,0,1,0,7.563136929895718
18,Male,EU,3,95.82928811009361,Android,2,0,1,0,22.509985136986185
52,Female,Asia,7,77.07734595528568,Android,2,0,1,0,17.68255257247404
54,Male,EU,3,93.33200573074183,iOS,3,0,0,0,21.29873838058695
31,Male,US,2,43.273133411725794,Android,2,1,1,1,19.773604142436525
20,Female,EU,2,77.08225180561347,iOS,1,0,1,0,14.327456214568368
18,Female,US,1,167.35927798744774,Android,1,1,0,1,36.857647445855854
22,Female,US,1,136.8030889219417,Android,2,0,1,1,36.68553147306346
43,Male,EU,3,80.54288340621568,iOS,2,1,1,1,32.77782926622852
31,Male,EU,2,16.374018519975852,Android,2,1,0,0,24.55166472890557
56,Female,EU,3,73.42214091477706,iOS,3,0,0,0,20.66945998525208
44,Female,EU,6,108.84468465479304,iOS,2,0,0,0,23.243075502444814
26,Female,US,2,104.05439307975443,Android,1,1,1,1,32.946403632833935
32,Female,EU,3,59.42587804351441,Android,2,0,1,0,18.2288289122371
32,Male,EU,2,82.56274052687381,Android,1,1,1,1,32.227000713826705
43,Male,US,3,18.79272649672407,iOS,2,0,0,1,26.255975608557286
59,Male,Asia,1,62.62238172119495,iOS,1,0,0,1,30.19825177870336
