age,gender,region,sessions_per_day,past_engagement,device_type,app_version,notification_sent,pop_up_rem,notification_opened,engagement
54,Male,Asia,3,34.831284213368065,iOS,1,1,0,0,14.924706302293288
18,Male,US,5,77.75842158892763,iOS,2,0,0,0,5.229459195564752
42,Male,US,1,53.02524619624387,iOS,1,1,1,1,27.12960673950073
27,Female,US,2,19.752821371912766,Android,1,0,1,1,17.78253013616683
53,Female,US,1,79.30974153997462,iOS,2,0,0,1,25.818239329149854
35,Female,EU,7,71.96252108430917,Android,1,1,1,0,23.795169595389822
41,Female,Asia,7,13.03965860102426,iOS,2,1,1,0,15.256592976618842
24,Female,US,3,16.95205412462671,iOS,1,0,1,1,24.561194856781096
53,Male,EU,2,39.59096377580539,iOS,2,1,0,0,16.143867897379728
42,Female,US,2,73.55174928892312,Android,2,0,0,1,19.783487770737988
54,Male,Asia,5,36.750629323374916,iOS,2,1,0,0,9.844179040092925
37,Female,US,3,96.76482305706274,Android,1,0,1,1,10.827025966481761
43,Female,EU,4,119.53430911477122,Android,2,1,1,0,20.802724855510917
20,Male,US,1,152.6405137439358,Android,2,1,1,1,18.30470203925708
58,Male,Asia,6,79.6621712292403,iOS,1,1,0,1,16.111382777658086
42,Female,Asia,4,31.116898466299137,Android,2,1,1,1,15.179966330151444
44,Female,Asia,4,105.46567459190288,Android,3,1,1,1,32.626646940594405
53,Female,EU,0,55.012352505198365,Android,2,1,1,0,8.194485395945005
54,Female,Asia,3,28.67596900143352,iOS,1,1,0,1,32.047002679932646
48,Female,Asia,1,81.30333857022106,Android,1,0,0,1,20.045290324463547
22,Male,EU,4,177.87953647040965,iOS,2,1,1,0,19.080333369236314
37,Female,US,2,34.13736842891796,Android,2,0,0,1,21.618917799015712
51,Male,EU,1,41.19521944085255,Android,1,1,0,1,18.04167379490571
45,Female,Asia,2,16.344741824016722,iOS,3,0,0,1,36.90218163795515
57,Female,EU,3,92.6565015015998,Android,2,1,0,1,35.15052218739216
20,Male,Asia,3,51.16827949374771,Android,2,0,0,0,17.94359974806539
50,Female,US,3,36.824780597032714,iOS,1,0,1,1,22.846122242110862
59,Female,US,2,87.82787625119151,Android,2,0,0,1,17.137255648663942
