country,week,watch_time_per_user,new_algo_deployed,marketing_spend,avg_monthly_price,broadband_penetration
UnitedKingdom,2021-01-04,4.82,0,1.43,11.67,91.7
UnitedKingdom,2021-01-11,4.75,0,1.36,11.55,91.4
UnitedKingdom,2021-01-18,5.1,0,1.37,11.54,91
UnitedKingdom,2021-01-25,4.41,0,1.45,11.49,91.5
UnitedKingdom,2021-02-01,5.18,0,1.4,11.68,91.6
UnitedKingdom,2021-02-08,4.93,0,1.37,11.53,91.3
UnitedKingdom,2021-02-15,4.96,0,1.32,11.58,91.3
UnitedKingdom,2021-02-22,4.79,0,1.39,11.6,91.3
UnitedKingdom,2021-03-01,5.05,0,1.48,11.62,91.4
UnitedKingdom,2021-03-08,5.64,0,1.3,11.59,91.4
UnitedKingdom,2021-03-15,5.22,0,1.6,11.46,91.4
UnitedKingdom,2021-03-22,5.27,0,1.42,11.61,91.4
UnitedKingdom,2021-03-29,4.89,0,1.44,11.59,91.4
UnitedKingdom,2021-04-05,5.36,0,1.56,11.58,91.5
UnitedKingdom,2021-04-12,4.84,0,1.42,11.53,91.2
UnitedKingdom,2021-04-19,5,0,1.5,11.61,91.5
UnitedKingdom,2021-04-26,5.42,0,1.25,11.64,91.6
UnitedKingdom,2021-05-03,5.15,0,1.47,11.59,91.5
UnitedKingdom,2021-05-10,5.27,0,1.67,11.58,91.5
UnitedKingdom,2021-05-17,5.45,0,1.46,11.61,91.5
UnitedKingdom,2021-05-24,4.79,0,1.44,11.59,91.2
UnitedKingdom,2021-05-31,4.49,0,1.24,11.58,91.6
UnitedKingdom,2021-06-07,4.44,0,1.33,11.49,91.4
UnitedKingdom,2021-06-14,5.43,0,1.42,11.64,91.1
UnitedKingdom,2021-06-21,4.71,0,1.38,11.59,91.4
UnitedKingdom,2021-06-28,5,0,1.53,11.59,91.5
UnitedKingdom,2021-07-05,4.96,0,1.5,11.67,91.3
UnitedKingdom,2021-07-12,4.7,0,1.43,11.55,91.3
UnitedKingdom,2021-07-19,4.95,0,1.57,11.61,91.4
UnitedKingdom,2021-07-26,5.34,0,1.46,11.59,91.4
UnitedKingdom,2021-08-02,5.26,0,1.4,11.56,91.2
UnitedKingdom,2021-08-09,5.11,0,1.37,11.56,91
UnitedKingdom,2021-08-16,4.67,0,1.47,11.51,91.6
UnitedKingdom,2021-08-23,4.72,0,1.37,11.59,91.3
UnitedKingdom,2021-08-30,4.45,0,1.5,11.44,92.1
UnitedKingdom,2021-09-06,4.04,0,1.45,11.6,91.4
UnitedKingdom,2021-09-13,5.05,0,1.55,11.58,91.5
UnitedKingdom,2021-09-20,4.53,0,1.5,11.56,91.7
UnitedKingdom,2021-09-27,4.85,0,1.51,11.49,91.1
UnitedKingdom,2021-10-04,3.8,0,1.38,11.51,91.4
UnitedKingdom,2021-10-11,4.21,0,1.38,11.62,91.1
UnitedKingdom,2021-10-18,4.82,0,1.42,11.55,91.2
UnitedKingdom,2021-10-25,4.81,0,1.28,11.58,91.7
UnitedKingdom,2021-11-01,5.01,0,1.36,11.57,91.5
UnitedKingdom,2021-11-08,4.17,0,1.44,11.59,91.6
UnitedKingdom,2021-11-15,4.79,0,1.53,11.52,91.7
UnitedKingdom,2021-11-22,4.82,0,1.5,11.55,91.7
UnitedKingdom,2021-11-29,4.28,0,1.43,11.47,91.3
UnitedKingdom,2021-12-06,4.55,0,1.25,11.58,91.5
UnitedKingdom,2021-12-13,5.33,0,1.48,11.56,91.4
UnitedKingdom,2021-12-20,4.8,0,1.43,11.57,91.6
UnitedKingdom,2021-12-27,4.92,0,1.41,11.6,91.6
UnitedKingdom,2022-01-03,5.15,1,1.66,11.58,91.7
UnitedKingdom,2022-01-10,5.47,1,1.48,11.65,91.4
UnitedKingdom,2022-01-17,5.63,1,1.53,11.6,91.5
UnitedKingdom,2022-01-24,5.7,1,1.77,11.55,91.6
UnitedKingdom,2022-01-31,6.13,1,1.5,11.56,91.7
UnitedKingdom,2022-02-07,4.81,1,1.59,11.65,91.4
UnitedKingdom,2022-02-14,5.59,1,1.63,11.59,91.5
UnitedKingdom,2022-02-21,5.16,1,1.39,11.59,91.2
UnitedKingdom,2022-02-28,5.75,1,1.35,11.6,91.5
UnitedKingdom,2022-03-07,6.07,1,1.57,11.53,91.7
UnitedKingdom,2022-03-14,5.43,1,1.65,11.62,91.4
UnitedKingdom,2022-03-21,5.06,1,1.33,11.47,91.5
UnitedKingdom,2022-03-28,5.88,1,1.55,11.6,92
UnitedKingdom,2022-04-04,6.09,1,1.54,11.68,91.7
UnitedKingdom,2022-04-11,5.76,1,1.74,11.54,91.5
UnitedKingdom,2022-04-18,5.21,1,1.63,11.56,91.8
UnitedKingdom,2022-04-25,5.6,1,1.54,11.58,91.7
UnitedKingdom,2022-05-02,5.33,1,1.56,11.54,91.5
UnitedKingdom,2022-05-09,5.23,1,1.72,11.59,92
UnitedKingdom,2022-05-16,6.21,1,1.57,11.56,91.5
UnitedKingdom,2022-05-23,5.91,1,1.57,11.61,91.6
UnitedKingdom,2022-05-30,5.74,1,1.48,11.68,91.9
UnitedKingdom,2022-06-06,5.67,1,1.58,11.51,91.9
UnitedKingdom,2022-06-13,5.14,1,1.59,11.54,92
UnitedKingdom,2022-06-20,5.49,1,1.65,11.61,91.4
